City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bambous virieux,-20.3428,57.7575,298.29,88,40,3.09,MU,1675219689
1,tecpan,14.7623,-90.9947,281.85,77,6,2.13,GT,1675220069
2,the valley,18.217,-63.0578,297.65,68,0,8.09,AI,1675219640
3,longyearbyen,78.2186,15.6401,264.06,67,20,6.69,SJ,1675219718
4,qaanaaq,77.484,-69.3632,251.66,47,84,3.35,GL,1675219648
5,bredasdorp,-34.5322,20.0403,291.37,95,12,1.99,ZA,1675219341
6,kaitangata,-46.2817,169.8464,293.32,76,99,3.55,NZ,1675219653
7,labuhan,-6.8844,112.2051,300.86,76,100,3.42,ID,1675219754
8,saskylakh,71.9167,114.0833,244.25,98,100,6.32,RU,1675219721
9,hofn,64.2539,-15.2082,270.69,65,95,5.97,IS,1675219743
10,tifton,31.4505,-83.5085,292.34,99,92,2.31,US,1675220070
11,belyy yar,53.6039,91.3903,255.09,85,40,0.0,RU,1675219846
12,saint-georges,12.0564,-61.7485,295.97,88,20,1.03,GD,1675220070
13,hobart,-42.8794,147.3294,290.52,67,88,1.79,AU,1675219499
14,makhachkala,42.9764,47.5024,277.14,93,99,2.97,RU,1675220071
15,rawson,-43.3002,-65.1023,289.16,57,0,8.76,AR,1675219430
16,cape town,-33.9258,18.4232,295.58,81,0,4.63,ZA,1675220072
17,port alfred,-33.5906,26.891,292.14,96,5,2.17,ZA,1675220012
18,kupang,-10.1667,123.5833,300.47,89,75,2.06,ID,1675219949
19,tual,-5.6667,132.75,301.54,75,81,5.1,ID,1675219808
20,yellowknife,62.456,-114.3525,241.44,68,20,5.14,CA,1675220074
21,vaini,-21.2,-175.2,301.24,89,75,4.63,TO,1675219985
22,tuktoyaktuk,69.4541,-133.0374,235.15,67,20,2.06,CA,1675219837
23,puerto ayora,-0.7393,-90.3518,298.46,88,78,2.23,EC,1675220069
24,aykhal,66.0,111.5,240.08,100,63,2.54,RU,1675219879
25,bereda,43.2686,-7.5406,272.12,100,29,1.37,ES,1675220078
26,tiksi,71.6872,128.8694,255.2,98,100,3.82,RU,1675220078
27,busselton,-33.65,115.3333,297.55,38,0,5.75,AU,1675219953
28,rikitea,-23.1203,-134.9692,299.38,69,4,6.32,PF,1675219787
29,albany,42.6001,-73.9662,267.16,64,96,1.89,US,1675219892
30,flin flon,54.7682,-101.865,240.24,100,65,1.51,CA,1675219894
31,codrington,-38.2667,141.9667,289.54,47,100,5.97,AU,1675220011
32,jamestown,42.097,-79.2353,264.92,83,75,2.06,US,1675219965
33,punta arenas,-53.15,-70.9167,285.21,62,20,9.77,CL,1675219631
34,dikson,73.5069,80.5464,248.79,93,23,3.69,RU,1675219979
35,pacifica,37.6138,-122.4869,285.11,57,20,5.14,US,1675219807
36,ushuaia,-54.8,-68.3,286.96,51,75,7.2,AR,1675219788
37,lucea,18.451,-78.1736,299.07,77,6,4.44,JM,1675220080
38,svetlyy,54.675,20.1347,275.91,94,100,11.42,RU,1675219924
39,boras,57.721,12.9401,278.65,81,100,6.82,SE,1675220081
40,mahebourg,-20.4081,57.7,298.31,88,40,3.09,MU,1675219908
41,noumea,-22.2763,166.4572,305.14,65,80,3.68,NC,1675219988
42,sao francisco,-15.9486,-44.8644,293.99,77,44,1.35,BR,1675220082
43,kundiawa,-6.0167,144.9667,297.47,71,88,1.14,PG,1675220082
44,kapaa,22.0752,-159.319,299.33,81,75,4.63,US,1675219968
45,san pedro,14.35,121.0167,302.77,65,20,3.09,PH,1675220059
46,mataura,-46.1927,168.8643,296.39,63,100,1.72,NZ,1675219945
47,chegdomyn,51.1167,133.0167,249.13,88,71,0.91,RU,1675220083
48,lata,40.1629,-8.3327,273.75,78,0,1.42,PT,1675220083
49,kruisfontein,-34.0033,24.7314,290.31,91,0,2.4,ZA,1675220084
50,ilulissat,69.2167,-51.1,254.16,65,61,1.54,GL,1675219829
51,benjamin hill,30.1667,-111.1,283.49,66,44,1.78,MX,1675220084
52,kavieng,-2.5744,150.7967,301.95,71,90,3.88,PG,1675220084
53,nikolskoye,59.7035,30.7861,273.1,91,99,3.77,RU,1675219786
54,anchorage,61.2181,-149.9003,271.86,93,100,2.06,US,1675220085
55,sidi ali,36.0998,0.4206,280.57,53,0,1.42,DZ,1675220085
56,port hedland,-20.3167,118.5667,307.18,52,14,2.57,AU,1675220085
57,victoria,22.2855,114.1577,296.46,80,62,1.34,HK,1675219817
58,ossora,59.2353,163.0719,266.94,85,100,1.45,RU,1675220086
59,coquimbo,-29.9533,-71.3436,291.0,88,0,2.06,CL,1675219803
60,carnarvon,-24.8667,113.6333,301.43,63,31,6.49,AU,1675220075
61,chuy,-33.6971,-53.4616,294.48,92,6,2.59,UY,1675219976
62,eydhafushi,5.1033,73.0708,299.9,75,100,5.1,MV,1675219865
63,brae,60.3964,-1.353,279.65,85,100,18.93,GB,1675219989
64,mocuba,-16.8392,36.9856,295.6,93,97,0.58,MZ,1675220087
65,constitucion,-35.3333,-72.4167,285.77,83,1,4.4,CL,1675219933
66,felanitx,39.4696,3.1483,278.22,75,0,0.84,ES,1675220087
67,taltal,-25.4,-70.4833,293.47,83,46,0.93,CL,1675220045
68,atuona,-9.8,-139.0333,299.25,77,92,9.86,PF,1675219973
69,severo-kurilsk,50.6789,156.125,269.56,52,63,1.55,RU,1675220088
70,mar del plata,-38.0023,-57.5575,294.87,88,75,3.13,AR,1675220088
71,berlevag,70.8578,29.0864,274.12,75,100,12.35,NO,1675220002
72,obera,-27.4871,-55.1199,294.2,86,8,1.26,AR,1675219901
73,moose factory,51.2585,-80.6094,248.14,77,100,2.06,CA,1675220039
74,tasiilaq,65.6145,-37.6368,261.24,73,97,3.14,GL,1675219701
75,richards bay,-28.783,32.0377,296.3,90,100,5.0,ZA,1675220089
76,melfi,40.9965,15.6514,272.31,61,6,2.88,IT,1675220089
77,bull savanna,17.8868,-77.5902,295.11,80,6,2.18,JM,1675220089
78,bluff,-46.6,168.3333,290.34,87,100,2.61,NZ,1675220090
79,sitka,57.0531,-135.33,277.09,81,100,7.2,US,1675220090
80,butaritari,3.0707,172.7902,299.94,79,100,7.53,KI,1675219959
81,katsuura,35.1333,140.3,285.16,53,13,10.7,JP,1675220091
82,port hardy,50.6996,-127.4199,276.25,87,100,5.14,CA,1675220091
83,sao joao da barra,-21.6403,-41.0511,297.77,86,43,9.1,BR,1675220063
84,new norfolk,-42.7826,147.0587,290.88,36,73,1.79,AU,1675219674
85,north myrtle beach,33.816,-78.68,289.33,98,0,1.54,US,1675219803
86,baiyin,36.5583,104.2081,269.76,25,100,2.03,CN,1675220092
87,nome,64.5011,-165.4064,268.19,93,100,0.0,US,1675219925
88,karwar,14.8,74.1333,298.11,60,100,1.97,IN,1675220092
89,esperance,-33.8667,121.9,290.81,62,100,5.81,AU,1675220092
90,bulungu,-4.55,18.6,292.41,95,24,1.03,CD,1675220093
91,honningsvag,70.9821,25.9704,275.01,69,75,12.86,NO,1675220093
92,kloulklubed,7.0419,134.2556,302.43,80,75,10.18,PW,1675220093
93,hithadhoo,-0.6,73.0833,300.39,73,19,5.59,MV,1675220094
94,quatre cocos,-20.2078,57.7625,298.21,76,100,5.95,MU,1675220094
95,thompson,55.7435,-97.8558,241.24,68,40,0.0,CA,1675220095
96,beyneu,45.3167,55.2,272.94,86,100,5.42,KZ,1675220095
97,svetlogorsk,52.6333,29.7333,270.37,97,100,3.31,BY,1675220095
98,belaya gora,68.5333,146.4167,249.71,99,99,2.25,RU,1675220095
99,grindavik,63.8424,-22.4338,269.12,86,0,1.03,IS,1675220075
100,clyde river,70.4692,-68.5914,241.28,75,0,3.09,CA,1675220096
101,katangli,51.7102,143.2326,258.07,78,28,5.3,RU,1675220096
102,kashi,39.4547,75.9797,266.71,73,40,2.0,CN,1675220096
103,balaguer,41.7912,0.8109,272.79,77,0,0.62,ES,1675220097
104,avarua,-21.2078,-159.775,300.18,78,100,7.72,CK,1675219833
105,hvolsvollur,63.7533,-20.2243,270.14,77,100,1.83,IS,1675220097
106,tiarei,-17.5333,-149.3333,303.16,76,10,6.52,PF,1675220098
107,bathsheba,13.2167,-59.5167,296.49,83,20,4.12,BB,1675219944
108,torbay,47.6666,-52.7314,273.47,93,100,3.09,CA,1675219793
109,ratnagiri,16.9833,73.3,298.3,43,100,3.29,IN,1675220098
110,zdunska wola,51.5992,18.9397,275.77,92,100,1.34,PL,1675220099
111,hauterive,46.0901,3.4459,276.57,97,91,1.22,FR,1675220099
112,touros,-5.1989,-35.4608,299.52,74,100,6.09,BR,1675220099
113,pemberton,50.3164,-122.8027,273.33,96,100,1.71,CA,1675220100
114,surman,32.7567,12.5716,282.76,56,45,4.75,LY,1675220100
115,hermanus,-34.4187,19.2345,290.82,93,3,0.81,ZA,1675219957
116,broken hill,-31.95,141.4333,298.96,29,0,5.12,AU,1675220100
117,bria,6.5423,21.9863,295.33,33,0,0.47,CF,1675219913
118,dingle,10.9995,122.6711,301.27,78,54,6.73,PH,1675219930
119,eureka,40.8021,-124.1637,280.81,81,100,0.45,US,1675220101
120,taoudenni,22.6783,-3.9836,286.37,22,100,5.69,ML,1675220076
121,ndele,8.4109,20.6473,295.98,24,2,1.12,CF,1675220102
122,east london,-33.0153,27.9116,294.7,82,4,2.21,ZA,1675219841
123,saint-augustin,51.226,-58.6502,251.28,82,1,3.83,CA,1675220105
124,upernavik,72.7868,-56.1549,253.17,93,100,4.1,GL,1675219984
125,northam,51.0333,-4.2167,281.27,81,12,8.58,GB,1675220106
126,kirovskiy,45.0917,133.5136,260.91,84,100,2.15,RU,1675220107
127,nanortalik,60.1432,-45.2371,263.13,84,99,2.5,GL,1675219946
128,saint anthony,45.0205,-93.218,261.11,62,75,5.14,US,1675220110
129,yulara,-25.2406,130.9889,305.22,17,3,4.93,AU,1675219900
130,pionki,51.476,21.4499,275.7,96,100,8.83,PL,1675220111
131,kahului,20.8947,-156.47,301.16,65,20,1.54,US,1675219981
132,luderitz,-26.6481,15.1594,288.78,93,6,4.85,NA,1675220112
133,cabo san lucas,22.8909,-109.9124,293.32,77,100,2.06,MX,1675219845
134,ribeira grande,38.5167,-28.7,285.25,83,96,2.68,PT,1675220003
135,haines junction,60.7522,-137.5108,261.48,99,94,0.91,CA,1675219974
136,opuwo,-18.0607,13.84,292.39,75,99,1.5,NA,1675220113
137,greece,43.2098,-77.6931,266.98,83,75,2.06,US,1675220114
138,khaniotis,39.9991,23.58,279.59,58,0,6.58,GR,1675220114
139,namibe,-15.1961,12.1522,295.06,83,100,2.69,AO,1675220067
140,price,39.5994,-110.8107,262.1,61,0,2.57,US,1675220115
141,elliot lake,46.3834,-82.6331,259.54,93,96,2.66,CA,1675220116
142,bud,39.447,-86.1758,268.16,69,100,2.75,US,1675220117
143,arman,59.7,150.1667,260.94,93,100,2.98,RU,1675220118
144,khatanga,71.9667,102.5,230.61,100,64,1.38,RU,1675219797
145,cherskiy,68.75,161.3,248.9,100,54,2.74,RU,1675220119
146,sobolevo,54.4299,31.8996,271.11,96,100,3.01,RU,1675220120
147,todos santos,23.45,-110.2167,292.06,94,93,2.87,MX,1675220121
148,saint-philippe,-21.3585,55.7679,297.92,87,89,5.23,RE,1675219977
149,askiz,53.1319,90.5264,258.94,92,100,0.59,RU,1675220122
150,skjervoy,70.0311,20.9714,270.15,73,100,1.07,NO,1675220123
151,mount pleasant,32.7941,-79.8626,290.42,97,100,1.54,US,1675220124
152,ancud,-41.8697,-73.8203,284.16,83,1,1.45,CL,1675219962
153,tuatapere,-46.1333,167.6833,295.32,65,96,1.75,NZ,1675220127
154,nantucket,41.2835,-70.0995,273.79,68,100,5.66,US,1675220074
155,lianzhou,24.7811,112.3825,294.17,54,69,1.07,CN,1675220128
156,faanui,-16.4833,-151.75,300.53,75,100,6.29,PF,1675219963
157,homer,59.6425,-151.5483,275.24,96,100,0.45,US,1675220129
158,baruun-urt,46.6806,113.2792,254.86,77,3,3.36,MN,1675220129
159,cidreira,-30.1811,-50.2056,296.92,92,0,2.34,BR,1675219967
160,poum,-20.2333,164.0167,299.79,63,77,2.09,NC,1675219839
161,port lincoln,-34.7333,135.8667,292.32,61,95,6.89,AU,1675220131
162,hun,29.1268,15.9477,280.86,73,6,3.58,LY,1675220131
163,srednekolymsk,67.45,153.6833,244.39,95,96,1.42,RU,1675219988
164,korem,12.5058,39.5228,283.12,53,12,0.32,ET,1675220132
165,castro,-24.7911,-50.0119,290.51,98,100,1.11,BR,1675219684
166,chokurdakh,70.6333,147.9167,255.15,97,100,3.36,RU,1675219960
167,doha,25.2867,51.5333,293.09,72,0,5.14,QA,1675220095
168,amahai,-3.3333,128.9167,303.34,64,83,1.02,ID,1675220009
169,rincon,32.296,-81.2354,290.32,96,98,1.37,US,1675220134
170,harrison,30.4091,-89.0436,292.46,99,100,2.06,US,1675220001
171,mbuji-mayi,-6.15,23.6,293.88,95,100,1.29,CD,1675220116
172,yar-sale,66.8333,70.8333,263.4,95,100,6.98,RU,1675220092
173,georgetown,5.4112,100.3354,302.11,78,20,2.06,MY,1675219822
174,baykit,61.67,96.37,250.95,100,100,0.51,RU,1675219858
175,samarai,-10.6167,150.6667,302.48,69,98,0.39,PG,1675219859
176,san,13.3034,-4.8956,294.68,8,100,3.56,ML,1675220040
177,kysyl-syr,63.8986,122.7617,243.59,96,100,3.47,RU,1675220140
178,kodiak,57.79,-152.4072,276.88,87,100,2.57,US,1675219949
179,manzanillo,20.3433,-77.1167,296.34,79,8,6.02,CU,1675220140
180,kendari,-3.945,122.4989,302.95,67,100,2.21,ID,1675219944
181,lasa,46.6166,10.7002,276.64,89,24,2.89,IT,1675219332
182,pisco,-13.7,-76.2167,296.18,78,0,5.14,PE,1675219990
183,sao filipe,14.8961,-24.4956,294.35,73,98,4.7,CV,1675220141
184,blairmore,49.6,-114.4353,266.08,62,100,10.29,CA,1675220142
185,te anau,-45.4167,167.7167,296.18,59,99,1.23,NZ,1675219876
186,bograd,54.2344,90.8328,257.45,98,100,1.19,RU,1675220142
187,khasan,42.4308,130.6434,269.52,55,100,7.48,RU,1675220142
188,jhargram,22.45,86.9833,295.69,41,95,5.77,IN,1675220143
189,talnakh,69.4865,88.3972,257.71,96,100,4.57,RU,1675219451
190,sakakah,29.9697,40.2064,280.91,70,0,2.8,SA,1675220143
191,tawang,27.5833,91.8667,282.69,28,0,1.91,IN,1675220144
192,surgut,61.25,73.4167,263.25,85,40,4.02,RU,1675220144
193,arrecife,28.963,-13.5477,289.14,67,0,7.72,ES,1675220145
194,acarau,-2.8856,-40.12,298.5,87,33,4.94,BR,1675220113
195,barrow,71.2906,-156.7887,252.16,77,0,10.29,US,1675220061
196,bengkulu,-3.8004,102.2655,300.14,76,100,3.31,ID,1675219963
197,baie-comeau,49.2168,-68.1489,253.97,65,0,2.06,CA,1675220145
198,rio brilhante,-21.8019,-54.5464,294.47,97,100,1.76,BR,1675220146
199,elliot,-31.3333,27.85,287.58,81,95,3.56,ZA,1675220061
200,shingu,33.7333,135.9833,287.3,54,100,5.68,JP,1675220146
201,seminole,28.7086,-81.2081,296.3,88,0,2.06,US,1675220132
202,padang,-0.9492,100.3543,302.18,77,100,1.51,ID,1675219854
203,neenah,44.1858,-88.4626,258.83,70,0,4.12,US,1675220100
204,miyako,39.6367,141.9525,279.73,58,46,8.1,JP,1675220147
205,arraial do cabo,-22.9661,-42.0278,297.42,88,85,10.95,BR,1675220147
206,lintangan,7.2155,121.952,303.14,71,15,1.43,PH,1675220147
207,airai,-8.9266,125.4092,295.22,76,77,1.24,TL,1675220148
208,djibo,14.1022,-1.6306,292.93,6,95,4.25,BF,1675220148
209,karad,17.2833,74.2,294.25,51,79,4.65,IN,1675220149
210,korla,41.7597,86.1469,266.64,79,80,0.25,CN,1675220149
211,hilo,19.7297,-155.09,297.75,92,20,5.14,US,1675219974
212,altay,47.8667,88.1167,264.2,62,100,2.19,CN,1675220149
213,ranfurly,-45.1333,170.1,295.28,68,100,3.18,NZ,1675220150
214,hermiston,45.8404,-119.2895,275.74,64,0,2.57,US,1675220016
215,bilibino,68.0546,166.4372,259.92,87,95,2.44,RU,1675220150
216,aden,12.7794,45.0367,296.81,65,9,6.63,YE,1675220061
217,fort nelson,58.8053,-122.7002,257.92,83,100,3.09,CA,1675220022
218,camana,-16.6228,-72.7111,296.64,89,100,2.39,PE,1675220151
219,vardo,70.3705,31.1107,274.14,86,75,8.75,NO,1675219975
220,hasaki,35.7333,140.8333,286.05,41,18,10.09,JP,1675219973
221,eyl,7.9803,49.8164,295.11,81,49,5.49,SO,1675220151
222,skovorodino,53.9833,123.9167,256.27,76,29,2.29,RU,1675220152
223,pushkino,56.0172,37.8667,273.31,96,100,2.58,RU,1675220152
224,menongue,-14.6585,17.691,289.35,96,100,0.69,AO,1675219853
225,chumikan,54.7183,135.315,250.86,83,24,8.0,RU,1675220153
226,chadan,51.2833,91.5833,247.86,96,79,0.27,RU,1675220153
227,beringovskiy,63.05,179.3167,267.53,97,58,3.29,RU,1675220153
228,athabasca,54.7169,-113.2854,258.38,97,100,0.43,CA,1675220154
229,anloga,5.7947,0.8973,299.62,81,96,2.19,GH,1675220067
230,kholm,59.2667,32.85,271.21,93,98,4.22,RU,1675219962
231,harper,4.375,-7.7169,299.09,86,44,2.42,LR,1675220154
232,lufilufi,-13.8745,-171.5986,299.03,75,100,8.0,WS,1675220155
233,banda aceh,5.5577,95.3222,299.68,71,98,0.8,ID,1675220155
234,kanashevo,55.2169,62.0634,268.46,95,48,1.78,RU,1675220155
235,port elizabeth,-33.918,25.5701,292.77,97,0,2.57,ZA,1675219986
236,kashary,49.04,41.0056,272.35,99,100,2.31,RU,1675220156
237,nioro,13.35,-15.75,294.57,19,12,3.64,GM,1675220156
238,chingola,-12.529,27.8838,288.29,99,93,1.62,ZM,1675220157
239,ponta do sol,32.6667,-17.1,288.5,62,65,2.67,PT,1675219951
240,kincardine,56.0667,-3.7167,279.3,92,74,9.84,GB,1675220157
241,alofi,-19.0595,-169.9187,297.09,94,100,2.06,NU,1675219986
242,nizhniy odes,63.6445,54.856,267.22,92,100,5.21,RU,1675220158
243,pevek,69.7008,170.3133,257.71,86,8,1.34,RU,1675220144
244,nemuro,43.3236,145.575,270.96,63,42,4.01,JP,1675220158
245,pangnirtung,66.1451,-65.7125,243.96,72,100,2.05,CA,1675220159
246,watertown,42.3709,-71.1828,270.4,50,0,4.12,US,1675219894
247,iqaluit,63.7506,-68.5145,247.0,76,75,6.17,CA,1675219884
248,tateyama,34.9833,139.8667,285.11,40,75,7.72,JP,1675220159
249,karratha,-20.7377,116.8463,308.2,43,13,3.24,AU,1675220159
250,mezen,65.8522,44.24,269.89,93,100,5.76,RU,1675220160
251,saint-pierre,-21.3393,55.4781,297.97,94,75,5.66,RE,1675220160
252,chicama,-7.8447,-79.1469,292.45,67,98,2.0,PE,1675220160
253,aksha,50.2814,113.2867,257.24,71,5,2.46,RU,1675220161
254,andenes,69.3143,16.1194,275.14,64,40,5.14,NO,1675220161
255,broome,42.2506,-75.833,266.74,81,0,2.57,US,1675220163
256,san cristobal,7.7669,-72.225,293.25,91,88,1.08,VE,1675220163
257,guerrero negro,27.9769,-114.0611,286.84,58,10,3.62,MX,1675219922
258,qovlar,40.948,45.735,274.52,83,60,1.98,AZ,1675220165
259,rocha,-34.4833,-54.3333,293.03,96,9,2.12,UY,1675219932
260,raudeberg,61.9875,5.1352,276.52,1,100,9.41,NO,1675220073
261,anadyr,64.75,177.4833,270.43,92,75,9.0,RU,1675220167
262,yumen,40.2833,97.2,268.25,34,100,2.42,CN,1675220168
263,swan hill,-35.3378,143.5544,300.42,22,0,5.45,AU,1675220169
264,hearst,49.6835,-83.6665,248.29,100,97,1.21,CA,1675220170
265,gulu,2.7746,32.299,293.97,46,2,1.28,UG,1675220171
266,provideniya,64.3833,-173.3,268.35,86,100,0.0,RU,1675219972
267,mangrol,21.1167,70.1167,291.76,47,80,6.26,IN,1675220172
268,bethel,41.3712,-73.414,272.0,59,0,2.57,US,1675219884
269,cayenne,4.9333,-52.3333,297.17,94,75,0.0,GF,1675220145
270,kamenka,51.3223,42.7678,271.06,97,100,4.03,RU,1675220173
271,srandakan,-7.9386,110.2506,302.31,68,100,2.19,ID,1675220174
272,nago,26.5881,127.9761,294.62,59,6,5.44,JP,1675220174
273,sechelt,49.4664,-123.7694,276.15,89,100,2.51,CA,1675220175
274,talas,38.6908,35.5538,271.52,93,100,0.51,TR,1675220176
275,dovers,12.8833,-61.1833,298.21,73,15,6.07,VC,1675220176
276,lagoa,39.05,-27.9833,286.99,70,98,5.46,PT,1675220119
277,pundaguitan,6.3711,126.1689,300.48,77,14,5.82,PH,1675220160
278,wanaka,-44.7,169.15,297.1,60,100,0.89,NZ,1675220177
279,morrope,-6.5417,-80.0111,297.21,64,73,4.09,PE,1675220178
280,bilma,18.6853,12.9164,288.3,29,100,6.41,NE,1675220179
281,salalah,17.0151,54.0924,294.2,64,40,1.54,OM,1675220179
282,aleksandrov gay,50.147,48.5704,267.5,78,62,3.6,RU,1675220180
283,xining,36.6167,101.7667,268.28,26,100,0.59,CN,1675220181
